iter	MAE
503	711561.1875
504	711178.963
505	711059.5759
506	710909.3741
507	710593.728
508	710265.4111
509	710052.3804
510	709922.2342
511	709679.8006
512	709351.2876
513	709148.1962
514	708880.3651
515	708655.816
516	708544.4699
517	708276.3385
518	708078.0536
519	707888.0303
520	707611.4821
521	707456.716
522	707155.8287
523	707088.1984
524	706955.1719
525	706682.0448
526	706503.3649
527	706359.5433
528	706198.8473
529	706069.7434
530	705853.8322
531	705674.428
532	705381.3737
533	705278.1604
534	705205.0711
535	705037.4643
536	704742.4562
537	704592.972
538	704482.2038
539	704144.0453
540	703930.631
541	703637.5334
542	703414.4859
543	703269.3846
544	703133.5191
545	702905.2369
546	702765.4307
547	702612.7445
548	702476.6225
549	702081.845
550	701975.5177
551	701885.7416
552	701527.79
553	701187.2872
554	700925.646
555	700836.28
556	700648.5254
557	700445.1859
558	700392.9488
559	700255.9059
560	700094.0981
561	699912.8964
562	699821.1568
563	699455.9845
564	699328.348
565	699230.6832
566	699073.8509
567	698964.5997
568	698924.4052
569	698845.4205
570	698568.2395
571	698437.3273
572	698160.3142
573	698064.5381
574	697998.5616
575	697859.418
576	697684.4151
577	697499.1713
578	697314.8888
579	697141.1778
580	696973.955
581	696777.7709
582	696592.3752
583	696479.3394
584	696308.5072
585	696260.2309
586	696168.9322
587	696073.0504
588	695870.6967
589	695674.0787
590	695618.7743
591	695533.952
592	695337.9559
593	695226.8655
594	695043.3298
595	694850.1239
596	694762.7524
597	694605.5825
598	694493.5887
599	694383.5545
600	694329.1908
601	694197.4308
602	694076.6397
603	693792.0197
604	693656.6382
605	693418.8623
606	693362.1478
607	693142.1321
608	693061.6163
609	693024.6685
610	692864.9672
611	692743.988
612	692651.0909
613	692312.0227
614	692167.0339
615	692061.059
616	691827.953
617	691664.1366
618	691515.0592
619	691421.4945
620	691370.0453
621	691237.3873
622	691097.7741
623	690982.471
624	690925.5034
625	690824.0996
626	690649.8486
627	690348.1479
628	690278.7162
629	690142.8174
630	690095.024
631	689933.3725
632	689815.3392
633	689572.1994
634	689431.296
635	689269.8851
636	689232.9576
637	689018.9394
638	688907.5353
639	688771.5482
640	688690.7149
641	688621.7456
642	688360.8652
643	688178.9456
644	688007.6476
645	687818.3943
646	687712.1103
647	687643.2891
648	687484.9605
649	687279.736
650	687169.7792
651	687007.4133
652	686929.2423
653	686884.8307
654	686742.6843
655	686526.6475
656	686433.0269
657	686283.1651
658	686148.3568
659	685965.4586
660	685718.3498
661	685568.5189
662	685422.9426
663	685156.8111
664	685061.6032
665	684848.1309
666	684780.5221
667	684545.8847
668	684510.4266
669	684319.0448
670	684132.0529
671	683877.9656
672	683735.1028
673	683705.0766
674	683480.5091
675	683392.4744
676	683134.6251
677	683028.8776
678	682922.0743
679	682786.129
680	682680.0068
681	682609.1268
682	682526.6207
683	682394.8411
684	682303.784
685	682020.421
686	681817.1655
687	681702.8045
688	681482.1326
689	681311.0071
690	681242.4128
691	681089.2335
692	680939.1372
693	680918.0085
694	680788.5955
695	680720.9107
696	680670.5075
697	680464.4331
698	680396.367
699	680202.6568
700	680148.8195
701	679890.5161
702	679755.9235
703	679488.1545
704	679363.3945
705	679233.2649
706	679086.9294
707	678742.3333
708	678678.439
709	678609.6199
710	678542.3828
711	678447.8731
712	678389.5538
713	678343.3609
714	678172.7967
715	678050.2392
716	677997.9866
717	677841.4942
718	677650.3606
719	677569.6585
720	677465.0749
721	677356.5958
722	677211.7179
723	677100.1481
724	676875.3926
725	676799.8371
726	676736.81
727	676664.4801
728	676476.8747
729	676302.9837
730	676233.1777
731	676073.9961
732	675993.8905
733	675895.7335
734	675779.666
735	675763.0525
736	675676.1072
737	675589.6477
738	675499.8129
739	675416.4307
740	675235.0372
741	675138.3494
742	675068.5703
743	674961.6473
744	674814.0229
745	674765.8069
746	674725.1717
747	674626.2862
748	674553.4079
749	674447.7895
750	674250.7485
751	674050.0065
752	673943.6153
753	673692.7224
754	673541.2157
755	673380.3276
756	673142.0826
757	673062.6273
758	672909.4481
759	672876.9928
760	672753.8995
761	672690.8644
762	672503.0496
763	672410.5738
764	672311.0069
765	672169.8176
766	672060.242
767	671912.3038
768	671737.1526
769	671557.9311
770	671425.0303
771	671351.6439
772	671278.8721
773	671146.6529
774	671085.4344
775	671041.9196
776	670814.743
777	670670.0684
778	670596.8745
779	670484.5835
780	670341.9554
781	670283.1417
782	670195.3914
783	670054.2564
784	669910.3735
785	669756.6737
786	669523.3655
787	669290.3107
788	669244.9054
789	669140.0966
790	669088.1988
791	668976.6467
792	668848.6479
793	668741.2284
794	668556.1521
795	668418.8655
796	668335.1021
797	668302.9713
798	668167.668
799	668061.7785
800	667969.3375
801	667804.4382
802	667668.4862
803	667570.9787
804	667480.6352
805	667370.8843
806	667250.6529
807	667191.132
808	667150.8558
809	666998.5587
810	666859.5329
811	666757.4637
812	666692.9888
813	666555.3028
814	666485.0577
815	666433.2921
816	666281.2523
817	666168.823
818	666087.8063
819	665945.9943
820	665863.8853
821	665692.6229
822	665593.7563
823	665482.3606
824	665388.8418
825	665214.2652
826	665174.7198
827	665145.4344
828	665034.0087
829	664781.8501
830	664709.3854
831	664527.2984
832	664364.9335
833	664190.5103
834	664123.4359
835	664046.1923
836	663880.9036
837	663815.8054
838	663779.5129
839	663637.2937
840	663565.4567
841	663423.1134
842	663358.5255
843	663304.9327
844	663272.2874
845	663193.9545
846	663068.0332
847	662913.1431
848	662812.3018
849	662778.4854
850	662627.2586
851	662542.7915
852	662488.9404
853	662336.0276
854	662185.8506
855	662094.438
856	662019.082
857	661936.0777
858	661844.8547
859	661751.6873
860	661626.2649
861	661473.8834
862	661339.4146
863	661252.4242
864	661150.8921
865	661075.2983
866	660890.0434
867	660705.6933
868	660660.6596
869	660525.9227
870	660489.8161
871	660441.0663
872	660348.0377
873	660197.7484
874	660087.4805
875	660019.1011
876	659887.3265
877	659835.302
878	659762.7039
879	659645.1596
880	659617.845
881	659467.5716
882	659373.3427
883	659244.1013
884	659105.9441
885	658990.2288
886	658935.5777
887	658824.7357
888	658762.7621
889	658696.1996
890	658620.0213
891	658569.3896
892	658519.0365
893	658440.5668
894	658398.605
895	658335.6652
896	658264.9012
897	658123.7513
898	657937.6117
899	657822.8364
900	657722.4892
901	657687.9087
902	657577.6787
903	657475.3373
904	657401.0091
905	657275.6523
906	657217.6381
907	657124.5432
908	657097.6122
909	657044.4194
910	657002.711
911	656872.0794
912	656850.1795
913	656674.817
914	656510.2427
915	656453.9825
916	656365.3109
917	656269.2668
918	656153.7114
919	656006.113
920	655926.2385
921	655861.6272
922	655791.0283
923	655686.9054
924	655577.3859
925	655507.1716
926	655366.7387
927	655273.0495
928	655193.1279
929	655150.027
930	654967.1251
931	654864.4031
932	654797.4862
933	654664.4539
934	654597.3517
935	654518.5465
936	654427.4923
937	654365.4044
938	654207.3672
939	654156.0899
940	654102.9757
941	653939.9394
942	653861.5383
943	653732.1368
944	653576.4611
945	653488.4264
946	653399.4013
947	653308.122
948	653220.3941
949	653166.4432
950	653095.783
951	652903.1743
952	652812.8121
953	652732.9501
954	652692.2977
955	652537.1479
956	652428.5315
957	652288.4782
958	652169.0831
959	652068.2942
960	652008.0195
961	651972.6022
962	651945.2014
963	651898.077
964	651797.5582
965	651696.2774
966	651648.4081
967	651567.9821
968	651518.8117
969	651397.8974
970	651301.2594
971	651225.2598
972	651199.3988
973	651103.0176
974	651091.5027
975	651021.0631
976	650928.564
977	650776.8633
978	650604.2915
979	650533.0925
980	650351.0117
981	650311.0806
982	650232.5424
983	650159.3661
984	650124.69
985	650064.6149
986	649992.9909
987	649909.4931
988	649884.3144
989	649805.0877
990	649687.5717
991	649576.2048
992	649553.7149
993	649396.8821
994	649348.1732
995	649265.8391
996	649127.428
997	649010.6188
998	648953.4528
999	648922.714
1000	648872.531
1001	648793.1548
1002	648684.771
1003	648617.5465
1004	648582.1027
1005	648504.7989
1006	648413.399
1007	648327.7295
1008	648198.22
1009	648129.8965
1010	648016.9158
1011	647912.6675
1012	647895.1048
1013	647866.5476
1014	647744.3197
1015	647673.7858
1016	647564.8287
1017	647420.0818
1018	647269.9176
1019	647180.1785
1020	647140.6407
1021	647033.2246
1022	646961.9863
1023	646884.0206
1024	646822.7169
1025	646765.6194
1026	646726.1162
1027	646684.149
1028	646656.5714
1029	646598.0698
1030	646506.0652
1031	646428.3665
1032	646353.5993
1033	646305.6003
1034	646251.3471
1035	646167.3309
1036	646068.8658
1037	645984.8507
1038	645905.6594
1039	645862.566
1040	645804.1057
1041	645626.5749
1042	645520.6613
1043	645406.5788
1044	645323.2305
1045	645216.6186
1046	645146.4779
1047	645071.872
1048	645055.6316
1049	644940.088
1050	644868.9299
1051	644846.1194
1052	644762.2102
1053	644679.327
1054	644628.5978
1055	644540.9305
1056	644490.9763
1057	644414.9179
1058	644338.8058
1059	644287.587
1060	644213.4219
1061	644175.588
1062	644118.1624
1063	644028.501
1064	643987.9535
1065	643928.0067
1066	643839.0437
1067	643701.2979
1068	643577.9438
1069	643510.2441
1070	643426.2068
1071	643392.0903
1072	643330.8703
1073	643275.0809
1074	643071.1241
1075	642971.8032
1076	642935.1056
1077	642857.5394
1078	642790.2832
1079	642646.1341
1080	642556.4745
1081	642500.6019
1082	642415.5511
1083	642251.2881
1084	642178.241
1085	642103.8404
1086	642039.6934
1087	642007.9595
1088	641964.3509
1089	641936.3439
1090	641891.5879
1091	641835.1281
1092	641711.2414
1093	641640.1365
1094	641565.0525
1095	641517.4376
1096	641457.4164
1097	641334.2426
1098	641269.2072
1099	641187.7314
1100	641105.8968
1101	641056.0347
1102	641005.3774
1103	640891.2835
1104	640747.0725
1105	640569.5886
1106	640528.9629
1107	640476.9341
1108	640430.4288
1109	640382.6448
1110	640333.0949
1111	640270.585
1112	640252.8102
1113	640207.9698
1114	640147.1686
1115	640094.8741
1116	640024.3653
1117	639913.2382
1118	639858.3243
1119	639793.0821
1120	639745.3846
1121	639656.4507
1122	639611.6481
1123	639576.0372
1124	639509.5662
1125	639387.3025
1126	639346.9708
1127	639312.9152
1128	639209.4778
1129	639179.2516
1130	639089.5929
1131	639005.2281
1132	638938.3962
1133	638833.8819
1134	638825.4324
1135	638727.7091
1136	638634.7181
1137	638568.488
1138	638471.2136
1139	638420.9312
1140	638325.5246
1141	638306.0154
1142	638270.1434
1143	638209.2347
1144	638121.4419
1145	638073.5649
1146	637864.547
1147	637740.2277
1148	637643.3518
1149	637610.8239
1150	637532.4878
1151	637484.6472
1152	637438.2482
1153	637366.7357
1154	637285.1225
1155	637216.8287
1156	637157.0376
1157	637097.2645
1158	637019.3939
1159	636939.0125
1160	636908.0353
1161	636845.1923
1162	636773.8927
1163	636661.7773
1164	636635.4956
1165	636573.0211
1166	636489.3548
1167	636451.9954
1168	636403.0635
1169	636356.0339
1170	636330.4248
1171	636282.9254
1172	636239.8835
1173	636179.9441
1174	636107.0514
1175	636044.582
1176	635979.6217
1177	635839.2176
1178	635733.5489
1179	635712.4449
1180	635663.6855
1181	635576.7999
1182	635526.8456
1183	635449.3326
1184	635357.4005
1185	635307.2717
1186	635263.7917
1187	635214.488
1188	635149.1159
1189	635075.319
1190	634995.7533
1191	634814.1625
1192	634740.6774
1193	634725.3734
1194	634695.2472
1195	634653.151
1196	634609.9679
1197	634563.1824
1198	634529.5759
1199	634453.8938
1200	634413.1451
1201	634358.0977
1202	634315.3146
1203	634203.2188
1204	634153.9915
1205	634124.1462
1206	634042.1295
1207	633978.8583
1208	633829.9127
1209	633770.8717
1210	633700.7238
1211	633656.1365
1212	633522.9563
1213	633468.3575
1214	633441.1406
1215	633376.9643
1216	633278.8426
1217	633188.2115
1218	633097.7778
1219	633018.3893
1220	632971.5878
1221	632935.2365
1222	632912.5499
1223	632825.5273
